Price,Close,High,Low,Open,Volume
Ticker,DEEPAKNTR.NS,DEEPAKNTR.NS,DEEPAKNTR.NS,DEEPAKNTR.NS,DEEPAKNTR.NS
Date,,,,,
2010-09-29,14.810611724853516,15.445471769488854,14.718725197923105,15.445471769488854,23140
2010-09-30,15.002737998962402,15.28675433910205,14.547478246434366,14.547478246434366,10580
2010-10-01,14.873263359069824,15.036154780937183,14.714547945816987,14.714547945816987,2360
2010-10-04,15.023622512817383,16.623301202554956,14.944264023539427,15.871493914725558,4800
2010-10-05,15.073742866516113,15.871494222937503,14.326111572046505,15.871494222937503,10350
2010-10-06,15.303460121154785,15.537356377342283,14.915026092224634,15.537356377342283,12480
2010-10-07,14.998562812805176,15.432940956029697,14.994386804613152,15.30346239604312,2370
2010-10-08,15.37028980255127,15.37028980255127,14.622658460462008,14.622658460462008,1300
2010-10-11,15.432940483093262,15.432940483093262,15.128040909198845,15.370289209115908,4220
2010-10-12,15.203222274780273,15.203222274780273,15.203222274780273,15.203222274780273,250
2010-10-13,15.37028980255127,15.37028980255127,15.286755298452288,15.286755298452288,70
2010-10-14,15.048683166503906,15.516475757399355,15.048683166503906,15.057036776336485,1500
2010-10-15,15.942496299743652,16.03856200167564,15.048680895301715,15.286753163090907,40670
2010-10-18,16.00096893310547,16.10120903293656,15.616710968319191,15.616710968319191,23660
2010-10-19,15.66683578491211,16.03856424864081,15.370289808862692,15.370289808862692,16000
2010-10-20,15.66683578491211,15.66683578491211,15.66683578491211,15.66683578491211,0
2010-10-21,15.712778091430664,15.955027967101492,15.671011640660918,15.871493472274034,6000
2010-10-22,15.89655590057373,16.03438647663318,15.453824148676567,15.453824148676567,1200
2010-10-25,15.934146881103516,16.64836380086056,15.704426591162786,15.704426591162786,4670
2010-10-26,15.838079452514648,16.276635163541616,15.787959391618541,16.264103953351583,530
2010-10-27,16.3685245513916,16.372702153284735,15.87567268502905,15.955031188115676,2260
2010-10-28,16.092859268188477,16.456234098379362,16.042739206305885,16.456234098379362,3020
2010-10-29,16.08032989501953,16.16386439494997,15.963382551089751,15.963382551089751,3000
2010-11-01,15.996797561645508,16.284991545773224,15.641777880468451,16.038565613911693,167470
2010-11-02,15.996797561645508,16.038565613911693,15.620894650979498,15.867320582841025,97000
2010-11-03,16.284988403320312,16.289164411096962,15.637597261069415,15.746192582717992,38650
2010-11-04,16.03438377380371,16.289163248774706,16.00514694158945,16.03856137457024,6270
2010-11-08,16.385229110717773,16.62330139472784,16.038563094450918,16.038563094450918,15630
2010-11-09,16.18056869506836,16.45623137981528,16.038560548787355,16.45623137981528,4010
2010-11-10,16.606595993041992,16.957439648902156,16.105392136060217,16.539768705891873,10890
2010-11-11,16.548124313354492,16.873908771661643,16.539770702291396,16.62330521963396,4180
2010-11-12,16.498003005981445,16.736075326959128,16.422822105326567,16.606596755100558,4980
2010-11-15,16.360170364379883,16.53976900053679,16.038565134626403,16.038565134626403,6580
2010-11-16,16.205629348754883,16.28916384095583,15.453822105522198,16.080328407097422,54000
2010-11-18,15.875672340393066,15.875672340393066,15.875672340393066,15.875672340393066,550
2010-11-19,16.06362533569336,16.289168044857508,15.875673078056568,15.875673078056568,2040
2010-11-22,16.046918869018555,16.20563429329763,16.03856685120928,16.03856685120928,7690
2010-11-23,15.78796100616455,15.955030017287461,15.78796100616455,15.955030017287461,910
2010-11-24,15.892376899719238,16.201454056524135,15.787959178179312,16.201454056524135,10090
2010-11-25,15.746193885803223,16.28916575911614,14.706192601674427,16.28916575911614,4660
2010-11-26,15.716957092285156,15.871494885842425,15.620892972328578,15.620892972328578,16760
2010-11-29,15.704426765441895,15.746194815571084,15.704426765441895,15.746194815571084,14160
2010-11-30,15.453825950622559,16.25157744272046,15.453825950622559,16.25157744272046,870
2010-12-01,15.453825950622559,15.453825950622559,15.453825950622559,15.453825950622559,0
2010-12-02,16.209806442260742,16.531413191530046,16.20562884147311,16.28498732355943,4940
2010-12-03,16.209806442260742,16.209806442260742,16.209806442260742,16.209806442260742,0
2010-12-06,16.289165496826172,16.289165496826172,16.289165496826172,16.289165496826172,3010
2010-12-07,16.247398376464844,16.289164828453366,16.20563033118831,16.289164828453366,12690
2010-12-08,16.205629348754883,16.209806949673286,16.205629348754883,16.209806949673286,600
2010-12-09,16.205629348754883,16.456232825357723,16.205629348754883,16.28916384095583,5650
2010-12-10,16.205629348754883,16.205629348754883,16.03856195764091,16.03856195764091,6680
2010-12-13,16.318405151367188,16.87390832261717,16.205633794949033,16.205633794949033,6780
2010-12-14,16.092859268188477,16.122096103727323,16.063622432649627,16.063622432649627,40
2010-12-15,15.871493339538574,15.871493339538574,15.871493339538574,15.871493339538574,1000
2010-12-16,16.142982482910156,16.6233031083715,16.03856474781575,16.03856474781575,19950
2010-12-20,16.205629348754883,16.209806949673286,16.205629348754883,16.205629348754883,4070
2010-12-21,16.3685245513916,16.531417566169697,16.122098618210327,16.122098618210327,6540
2010-12-22,16.573183059692383,16.70683763329569,16.163865728871222,16.163865728871222,34200
2010-12-23,16.301694869995117,16.62330165720512,16.28916525272981,16.28916525272981,22280
2010-12-24,16.297517776489258,16.706835043869507,16.23904410876179,16.706835043869507,3120
2010-12-27,16.289165496826172,16.330931950528445,16.289165496826172,16.330931950528445,7500
2010-12-28,16.289165496826172,16.7068364070012,16.289165496826172,16.7068364070012,200
2010-12-29,16.289165496826172,16.381053606916865,16.289165496826172,16.381053606916865,4350
2010-12-30,16.289165496826172,16.289165496826172,16.289165496826172,16.289165496826172,250
2010-12-31,16.289165496826172,16.289165496826172,16.289165496826172,16.289165496826172,1200
2011-01-03,16.289165496826172,16.289165496826172,16.289165496826172,16.289165496826172,500
2011-01-04,16.506349563598633,16.702655341796564,16.28916056487249,16.330927005928917,3750
2011-01-05,16.506349563598633,16.506349563598633,16.506349563598633,16.506349563598633,0
2011-01-06,16.289165496826172,16.289165496826172,16.289165496826172,16.289165496826172,9450
2011-01-07,16.2933406829834,16.305871893092423,16.289164675139055,16.289164675139055,13860
2011-01-10,16.289165496826172,16.293341504881166,16.289165496826172,16.289165496826172,15380
2011-01-11,16.2933406829834,16.2933406829834,16.2933406829834,16.2933406829834,10010
2011-01-12,16.61495018005371,16.62330379039858,16.28916734304505,16.310050572263098,15590
2011-01-13,16.510530471801758,16.539767307878197,16.330931854024744,16.330931854024744,12000
2011-01-14,16.731895446777344,16.865549996284404,16.293339763338896,16.293339763338896,1450
2011-01-17,16.456233978271484,16.456233978271484,16.289164982164838,16.289164982164838,14850
2011-01-18,16.468765258789062,16.623303060159888,16.372701133975404,16.372701133975404,12800
2011-01-19,16.468765258789062,16.468765258789062,16.468765258789062,16.468765258789062,0
2011-01-20,16.330930709838867,16.330930709838867,16.330930709838867,16.330930709838867,50
2011-01-21,16.301694869995117,16.62330165720512,16.28916525272981,16.293341260722226,9430
2011-01-24,16.289165496826172,16.790370907693823,16.289165496826172,16.297519106224243,120
2011-01-25,16.648361206054688,16.790369366208278,16.293340009026753,16.293340009026753,13010
2011-01-27,16.698482513427734,16.70683612268364,16.28916521961655,16.29334122760048,17320
2011-01-28,16.489646911621094,16.539766973411737,16.293341079116352,16.293341079116352,17820
2011-01-31,16.385229110717773,17.10779957188896,15.87149409820721,15.87149409820721,15850
2011-02-01,16.330930709838867,16.335108310864562,16.2933402670474,16.2933402670474,1010
2011-02-02,16.2933406829834,16.2933406829834,16.2933406829834,16.2933406829834,330
2011-02-03,16.289165496826172,16.456234498211415,16.289165496826172,16.456234498211415,5160
2011-02-04,16.330930709838867,16.330930709838867,16.330930709838867,16.330930709838867,500
2011-02-07,16.289165496826172,16.372699997518794,16.20563099613355,16.372699997518794,20170
2011-02-08,16.289165496826172,16.289165496826172,16.289165496826172,16.289165496826172,0
2011-02-09,16.289165496826172,16.289165496826172,16.289165496826172,16.289165496826172,1020
2011-02-10,16.289165496826172,16.289165496826172,16.20563099613355,16.289165496826172,23480
